URL,LengthOfURL,Domain,URLComplexity,CharacterComplexity,DomainLengthOfURL,IsDomainIP,TLD,TLDLength,LetterCntInURL,URLLetterRatio,DigitCntInURL,URLDigitRatio,EqualCharCntInURL,QuesMarkCntInURL,AmpCharCntInURL,OtherSpclCharCntInURL,URLOtherSpclCharRatio,NumberOfHashtags,NumberOfSubdomains,HavingPath,PathLength,HavingQuery,HavingFragment,HavingAnchor,HasSSL,IsUnreachable,LineOfCode,LongestLineLength,HasTitle,HasFavicon,HasRobotsBlocked,IsResponsive,IsURLRedirects,IsSelfRedirects,HasDescription,HasPopup,HasIFrame,IsFormSubmitExternal,HasSocialMediaPage,HasSubmitButton,HasHiddenFields,HasPasswordFields,HasBankingKey,HasPaymentKey,HasCryptoKey,HasCopyrightInfoKey ,CntImages,CntFilesCSS,CntFilesJS,CntSelfHRef,CntEmptyRef,CntExternalRef,CntPopup,CntIFrame,UniqueFeatureCnt,WAPLegitimate,WAPPhishing,ShannonEntropy,FractalDimension,KolmogorovComplexity,HexPatternCnt,Base64PatternCnt,LikelinessIndex,Label
https://bafkreibre4pwizu3d73y7at37ewy6nhklfhb4mb75tp256ot67qeezmf7u.ipfs.cf-ipfs.com,84,bafkreibre4pwizu3d73y7at37ewy6nhklfhb4mb75tp256ot67qeezmf7u.ipfs.cf-ipfs.com,14,0.013157895,76,0,com,3,55,0.655,17,0.202,0,0,0,4,0.048,0,2,0,0,0,0,0,1,0,539,3140,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036908749,0.034343161,4.739567176,1,1,1,3,0.2632,Phishing
http://101.200.220.118:8090/ledshow2.exe,40,101.200.220.118:8090,12,0.03030303,20,1,118:8090,8,10,0.25,17,0.425,0,0,0,6,0.15,2,0,2,1,13,0,0,0,1,1905,29984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0.030219682,0.031711582,3.808270835,1,1.222222222,5,3,0.329166667,Phishing
https://1llc5nv.duckdns.org/,28,1llc5nv.duckdns.org,9,0.05,19,0,org,3,15,0.536,2,0.071,0,0,0,3,0.107,0,1,1,1,0,0,0,1,0,587,2072,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043893038,0.038140238,4.056020968,0.75,1.307692308,0,2,0.684210526,Phishing
http://hrga.melonwoodhomes.com/,31,hrga.melonwoodhomes.com,9.375,0.041666667,23,0,com,3,21,0.677,0,0,0,0,0,3,0.097,0,1,1,1,0,0,0,0,0,1639,3219,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,2,0,0,3,0,0,0,0.061778316,0.046342187,3.827832616,0.75,1.275862069,0,2,0.608695652,Phishing
https://www.aspb.gob.bo,23,www.aspb.gob.bo,5.875,0.066666667,15,0,bo,2,9,0.391,0,0,0,0,0,2,0.087,0,2,0,0,0,0,0,1,0,775,32430,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,22,20,20,103,2,106,0,1,10,0.073054579,0.046232799,3.346439345,1,1.4,0,2,0.733333333,Legitimate
https://s.kurersekoyasszua-jp.icu/,34,s.kurersekoyasszua-jp.icu,10.25,0.038461538,25,0,icu,3,22,0.647,0,0,0,0,0,4,0.118,0,1,1,1,0,0,0,1,0,469,780,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,10,2,0,0,0,0,0,0,0,0.049506599,0.042151585,3.965018266,0.75,1.25,0,3,0.44,Phishing
https://www.ekli-nat.ekinrt.lnedxt.top,38,www.ekli-nat.ekinrt.lnedxt.top,8.75,0.033333333,30,0,top,3,22,0.579,0,0,0,0,0,4,0.105,0,3,0,0,0,0,0,1,0,8,46,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065718679,0.047154944,3.917626444,1,1.235294118,0,3,0.433333333,Phishing
https://www.avesnocturnas.es,28,www.avesnocturnas.es,6,0.05,20,0,es,2,15,0.536,0,0,0,0,0,1,0.036,0,1,0,0,0,0,0,1,0,1255,8047,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,33,6,17,197,0,207,0,0,10,0.074065928,0.048184829,3.719294526,1,1.307692308,0,2,0.55,Legitimate
https://qrco.de/bfLW8S,22,qrco.de,7.75,0.071428571,7,0,de,2,11,0.5,1,0.045,0,0,0,2,0.091,0,0,1,7,0,0,0,1,0,40,200,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0.050428805,0.04351344,4.070656113,1,1.380952381,1,2,1,Phishing
https://www.salsapower.com,26,www.salsapower.com,5.75,0.055555556,18,0,com,3,13,0.5,0,0,0,0,0,1,0.038,0,1,0,0,0,0,0,1,0,244,224,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,1,4,0,0,1,0.079889017,0.048268122,3.636842188,1,1.333333333,0,2,0.666666667,Legitimate
